id,Tag,message
51XD,No Engagement,Son doesn’t take seriously and only wants to play the games
60ED,Budget Sensitive,I cannot afford having this app we r on a budget maybe next time
89FN,Budget Sensitive,I cant afford this anymore we are on a budget wish i could still afford it
46FR,Time,App is great my daughter just didnt put in the time
71QO,Ignore,Nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
84GO,Budget Sensitive,Sticker shock. Too expensive for what it delivers........
98AV,Budget Sensitive,Sticker shock. Too expensive for the results delivered. .........
46KN,Issues,Repetitive stuff in addition subtraction multiplication
87JA,No Engagement,I do not want itttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt
29SI,Ignore,Ygvbnhjk. Bvcrdfv kojjiugds2 ccdrtyuj nmopjgg6hn bcdrdcguy mkugvb
15EB,Budget Sensitive,I do not like monthly subscriptions. I prefer one time purchases.
68RX,Budget Sensitive,We personally prefer to do one time payments over having to commit to subscriptions.
56HK,Trial,Only trying one week trial biishsusbsusisjsbsbhsuhssbhsusueueudududud
26EV,No Engagement,My kids are not using it now! Maybe later thanks and why 50 characters
11GE,Budget Sensitive,Cost too much money. There are other apps that provides the same skills and knowledge that cost less. I can not afford to pay for this subscription.
49GL,No Engagement,No longer need the app as the subcription is nearly up
83OJ,Budget Sensitive,Too expensive. Too e pemsicndhfjdbsksmd dncndnd fkdcv
31RP,Ignore,Do not want to pay monthly fee as we can get free app access through login with school
56HC,School Free App,Free App through childs school. Will go through school instead of paying monthly fee for math practice.
81GA,Ignore,Love this app but our son is able to access through school credentials
66LL,Ignore,My  child is proficient in math. I am canceming the subcription as i no longer need it. Thank you.
95LU,Budget Sensitive,Didn’t know it would auto charge 60 bucks so we decided not to renew
56JJ,Time,"The app is rally excellent. My son loves it. However, I do not let him stay long time on the phone. I think it is too expensive to be used twice a week."
97RY,No Engagement,"I need to cancel this subscription, we dont use the app anymore so please help me with that"
80WK,No Engagement,"We no longer need this app, my son do not play math anymore, so i do not want to pay for something we do not use"
64YK,Issues,It’s not helpful\n\nPractice doesn’t fit needs of the child
95UD,Ignore,Fdvggfff Fdvggfff Fdvggfff Fdvggfff Fdvggfff Fdvggfff Fdvggfff
68NR,No Engagement,Not being used....................................
67XK,Budget Sensitive,To much money and I can not afford it at this time. I was looking for ancree app when i came acrossed this one.
13NJ,Ignore,Did by accident \nNever used the app so decided to cancel the subscription \n
64VS,No Engagement,because my never used this app to study math so not worth putting money overtime
40PZ,Budget Sensitive,Cost was more than we wanted to pay..........................
42DE,Time,I do not have time to use this program right now. Thank you
72QY,Time,She already has too much homework. No time for extra.
67YV,Budget Sensitive,I would continue the subscrition if it were free. The coast is more than I can afford.
81PY,Ignore,Skskskkskeksksknsjsjdkdjdjdjdjdjdjdkskksnsjsjjxjdkdjdkjs
79WF,Ignore,None my child has started school therefore does not need the services at this time
61FC,Budget Sensitive,Too expensive and not worth the cost qpqpqpqpqpqpqpqpqpqpqpq
47MV,Short Term,We don’t need it anymore after the summer is over. Why 50 characters.?
97PH,Ignore,".........""...................................................................."
48ET,Content,Not enough material for children to stay entertained with. The games are a bit boring for my son.
85AL,Budget Sensitive,"I would have kept this for my son, but This app is  too expensive......\n..."
33HP,Budget Sensitive,It is great but too expensive \nIf it was less I would definitely join and recommend it \n\nThank you
63YE,No Engagement,The child is Not using enough to keep paying for this
46SP,Budget Sensitive,"We have something else. \nThis is wonderful, but a little expensive.\n"
90ZA,Ignore,I downloaded the wrong application for my daughters class assignment
46BF,No Engagement,We were trying it out and want to think about it longer.
93PZ,Competitor,We’re already using another application. Thank you very much!
33ZV,Issues,Not suitable and terminology is different as well as not same syllabus as school.
81DL,No Engagement,She doesnt use app at all. We are limiting her screen time completely
78MJ,Budget Sensitive,Expensive and did not find that useful for my kids
44IT,Ignore,Gihukhjgkhjhjgkhjghjkgkhjgkjhgkjhghkjgkjhgjkgkjghjhghjkgkjhghjkgjkhgjkhg
40PB,No Engagement,My daughter just doesn’t use it much. She like the god old fashion flash cards. This app was fun though. Very well done!
45FU,Competitor,Have a different game w out monthly fees. Zzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
11OI,Ignore,....................................................
55NO,Ignore,!!!!!!!$)))(?)&’kibcccvhujjjj nkkhggvghhjjj.     \nmuhhhhhjjjjjjjjj
17AV,Budget Sensitive,dont want to pay we already have wnough resources. Cute app though thanknyou
62AM,Budget Sensitive,"Although i really liked this app and the content, it is too expensive."
87MO,No Engagement,Didnt use it as much as i thought we would use it.
51GY,No Engagement,She doesnt use it enough to justify the cost. Lower cost and i would reconsider
63XL,Budget Sensitive,I cant afford 10$ a month....................................................
40FL,Budget Sensitive,Too expensive bbbbbbbb bbbbbbb nbnmnkdkdjdjdjdjdj jdjdjdjdjdjdjdj jdjdididjdjdjdj sjdjdjdjdjdjdjejd jejskfhfhsisj jduduejejdjdjdj jshejejeieke jejsieisj dhdjejsjdj sisjejejsksosi.
15BP,School Free App,Because i dont like it and we found a hetter practice site through school
53QT,Ignore,Cancel free trial.not interested.slow in opening the app
15AZ,Ignore,Jg g jt jt u. R ng hrxhtctj ht jt hg nf jg jf tn hgdjdgjfig ngcjt tn
53OW,No Engagement,H\nThis app is difficult to use. My son doesn't like it. Too many sounds
65JC,Alternates,Grandkids do not use. They have excelled having a math tutor
57YW,Budget Sensitive,I am going through a financial hardship and am unable to afford at this time.
67SH,Budget Sensitive,The subscription is too expensive.  Math can be learned without the use of excessive screen time.
65RJ,No Engagement,He doesn’t use it as much but thank you for the free trial
86OI,No Engagement,No longer needed... price is a little high when we rarely use it
60US,Budget Sensitive,Don’t want to pay. Don’t want to pay. Paying is not what I want to do.\n
42QK,Ignore,All good! Just had to upgrade memory instead. Thanks.
44JN,No Engagement,Not active enough for my son to stay engaged. Needs more visuAls or movements.
84TJ,No Engagement,"Not using enough to justify price.""............."".................................."".............................................."
27VK,Ignore,Cc ghnmihyu uujjjii ujjjiioki jjjijjnb huiknbuikm hjkmn
31GA,Budget Sensitive,I was wanting something absolutly free and i see this app will charge and well thats why i want to delete it all in all this app is great
14VQ,Budget Sensitive,Its great but looking for something free all in all this app is great
43GV,Ignore,Subscription was accidental. Please cancel it. My daughter does not need this app.
94KC,Ignore,".........,. Zczczcczcs scsczcs scscsvevevshejejejdjdjdjdjejehshhshshshshshhejsjsjsjsjsjjsjsjsjsjjsjsjsjsjsnsns"
68MM,School Free App,I have reflex math from the school. I need to cancrl this subcription
24QX,Content,"My daughter don’t enterested with this.She ignore it after playing a bit.Then she said,i don’t want it mommy.It’s hard for me to do it or answer it."
30VE,No Engagement,"My child was’t using it enough to justify cost. It was good for occassional use, but we also don’t approve of a lot of screen time."
81UC,Issues,You guys could make it more cartoonish for the kiddo
47LQ,Alternates,I dont need this appplicatoon. My son is using something else for math.
10NG,Issues,Did. Not have what i need need a better multipication module
58PW,Ignore,The reaso i would loke to cancel is because my daughter made rhe purchase
15ZP,Ignore,My daughter had my phone and downlaoadex the game AND signed up for this membership
13GU,No Engagement,My son does not seem interested enough to play it often
31BN,Budget Sensitive,I keep trying to cancel this app because too expensive. Thought was free app. Won’t say canceled.
55BP,Budget Sensitive,The cost is too much.  I like the app but it doesn’t meet my budget.
41AK,Budget Sensitive,App is too expensive versus comparable math apps. I dont need 50 characters to say that.
11EP,Budget Sensitive,Too expensive to keep paying each month sorry zzzzzz. Zzzzzzzsszzz
39JI,Short Term,Just not needed at this time.  She just isnt quite as interested ik this game yet
98TZ,Budget Sensitive,"This app is very expensive and it’s very difficult to cancel. This app is very expensive and it’s very difficult to cancel. There are many other free apps, which are not is good, but our much more free.\n"
37CA,Budget Sensitive,"great program, but too expensive to continue on an ongoing basis.\n"
89LZ,Budget Sensitive,The app is just too much money for me to afford monthly. Other then that it would be a good learning too. I thought it was a free app. \n
37WB,Budget Sensitive,The app is too much money for me to afford monthly. \n
69AT,Competitor,Looking at other options for math practice.  Xxxxxxxxxxxxx
87LH,Ignore,Wwerrttyyjkjnbfcdcvbnjjhgrdscvbnnjhvdsaaertynnvcxxddfhhuuytrdxcvbnn
32OT,No Engagement,No longer using it. No need to pay for something were not using
24HT,No Engagement,No longer uses the app so want to cancel.  Good app but shouodnt have to pay a subscription.
74OB,No Engagement,"No longer interested in having the app. My son disnt show a atrong likeing for it and i didnt intentionally subscribe, i forgot to cancel."
20WE,No Need,No improvement just dont need it hchbchendkemfmjjsjndjjdjdjdnjsncnnfj
79TV,No Engagement,"My child  does not use this application any more. \n\nRespectfully,\n\nParent"
11XR,No Engagement,"kids dose not like it_i think it is not cool to force to leave at least 50 word of explanation of why cancel, i guess this just give me another reason to do the cancellation. Sucks"
32AE,No Engagement,Not using application not using application not using application not using application\n
82BM,Short Term,Not enough use at this time. Will possibly subscribe again in the future
76DI,No Engagement,We do not want to keep using this app for the moment. We will look into it later on
15MV,No Engagement,"It’s great, my kids just aren’t using it enough during the school year to be worth the subscription."
89VG,Budget Sensitive,Expensive. The quarterly charges without notice is annoying.
98BF,Budget Sensitive,Too expensive\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nToo expensive\n\n\n\n\n
45HV,Competitor,"I have found a different option, thank you so much for allowing us to try it out!"
87QD,Budget Sensitive,"Can’t afford 29.99 subscription, but the app is great and my daughter loves it. I would recommend to everyone."
86WP,Budget Sensitive,"Can’t pay $29.99 right now, but great app. I would recommend to anyone because my daughter loves it\n"
20PO,Budget Sensitive,This is too Expensive for our family to afford. Great program though. Thank you for the free week.
20LN,Ignore,Unable to explore at this time. Kids have minimal use of parents phone.  Different platform is needed
67KY,No Engagement,It’s just not suitable for my son.  I\nHe hasn’t played with it despite a few reminders.
24KS,Time,"We aren’t using it now,  to much homework.  Cancel"
24BI,Content,didnt enjoy or find it challenging enough so i dont want to use it for my kid as the levels is too tedious to go through to get to a challenging step
76CU,Issues,Not sure if my sons teacher recommends .  If she does then we will resign up
67UG,Ignore,Too young for my daughter thanks aaaaaaaaaaaaaaaaaaaaaaa
81IK,Ignore,"I tried to cancel subscription, did not work. Would like to cancel after trial period and don’t access."
31AE,No Engagement,We just arent using it right now. I need to provide a minimum of 50 characters so hope this works
71QW,No Engagement,"Kids not using .""...................................................."
77AK,No Engagement,"The girls do not enjoy the application, unfortunately."
30HG,Ignore,Already can eledbbbbb bbb bjjjjhggffddghjjjhtfffnnbvgvghjjjgffdrgyhjj
44VK,Budget Sensitive,Cost is too high right now. May subscribe later on.
98KX,No Need,Outgrown. No longer needs this app. Thank you for the memories.
12BS,Competitor,"While there are some valuable tools on this app, I have a hard time warranting the almost $60price tag. I can find much cheaper apps that will do about the same thing."
78PD,Budget Sensitive,Too expensive and could not download family plan onto kids ipod touches so it was only on my phone ans so they could never play
24BD,Time,I don’t have time for this...............:...................................    .....................................................\n
88RO,Budget Sensitive,Too easy and too expensive. Not worth our time or money. \n
87FG,Short Term,The app is no longer needed for my child therefore please cancel my subscription.
64TI,Budget Sensitive,This app is way Too expensive. I like the concept but for the price i can hire a tutor
71AL,Ignore,I dont need the app anymore my son learned enough i really appericate the help from you guys
33FN,Budget Sensitive,Cant pay its to much money for me each month. The fact that  i have to write this much to cancel is super annoying!
56OM,Ignore,Did not like this app.  Thank you thank you thank you thank you
83PH,No Engagement,Don’t play.                                                                                                                                         Cost to much.
13AR,No Engagement,Kids didnt play the game. Great app but not for my kids
46ER,Short Term,We downloaded the app to use over the summer and ended up not using it.
61HU,No Engagement,I did not find it useful. Deleted app before I cancelled. And I was charged. Would e refund\n
22DN,No Engagement,Kids are not using the app!  It is too advancd for my two children at the present time!
83YU,Budget Sensitive,Way too much money for this game. Too many othrt options
84IZ,Budget Sensitive,Way too money for this game. Free options available
33CW,Ignore,Ttttttttttttttttttttttttttttttttttttttttttttttttttttttt
73KU,Content,Don’t like it that much. It’s too advanced for her.
29AN,No Engagement,It cost too much money and my son was not using it enough\n
56WI,Ignore,He can not do K math on his own because he can not read.
64DC,Ignore,Wrong app. Bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb
94AC,Budget Sensitive,The app is Too expensive and i  cant afford it thanks anyways
36FF,Competitor,Khan academy has more detailed lessons and its free
30AT,Competitor,Khan Academy is free and is more helpful and the lessons are more detailed.
95NI,Budget Sensitive,Tyere is nothing wrong with this application I am just not willing to pay for it.
13FW,No Need,No need mybshjdkdkkfkfjjfkekkwkasjgdhfjfnfkttkmmmlskd
96KJ,School Free App,We no longer need this app. We are using a different app from our school
28JA,Ignore,Please can you confirm you have received the cancellation for this subscription.\n\nMany thanks\nRöger Gonourie
60VA,Budget Sensitive,The cost is too high and is at a price where i cant afford to keep it
59YW,Plan Issues,I signed up for the trial only and don’t want the susbscription.
76NY,No Engagement,Not using the product mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
49AW,Content,its not that good app and very easy for 1st grade so i didnt want it
76RC,Budget Sensitive,Not needed..………………............................................................:::::.:::.....::::::::::::::..:::::::::::....:::::...........
72UG,School Free App,We no longer need this app. We are using a different app from school
29MD,Budget Sensitive,Money and lack thereof .......................................
57TS,Content,Too expensive and child losses interest after some time
65VY,Time,"We do not use, we dont have time, i do not want \nJdjdhfhdiskekrnnfncnfnrjemmsmxnxndjf. Cnrjdjejie"
13IH,Content,"He doesnt like it, it isnt challenging enough for him"
73ZL,Competitor,I have a different game installed for my son. Please cancel this. I dont want to pay anymore
99VI,No Engagement,Ties is not really using the app this year. So I do not want to pay for another year.
35OR,No Engagement,We don’t use it anymore and would like to cancel the subscription
87NS,Short Term,"No longer interested..................................................\n\nFrankly, that I have to enter 50 characters to cancel is ridiculous!\n"
64WD,No Engagement,Kids don't use enough to pay that much monthly.  Too much money
29NE,Budget Sensitive,I can’t affor it anymore. I’m single mother wnd I just was laid off
93IX,Budget Sensitive,Its too expensive for what it is. Please cancel my subcription asap
86AG,No Engagement,We dont use this app anymore. Not sure why hiu have this 50 character limit for reasons to unsubscribe.
49TK,Ignore,I tunes will only allow me to stop resubscribing on 10/15/19. They will not allow me to cancel the current subscription
86NI,No Engagement,It is more than we need. I don’t want to pay for this app. Thanks
40WG,Content,It’s too hard for the child that I have and also I don’t want to pay for it
34HI,Ignore,Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmnnnmnn
38QV,Time,Not using now that school has started please cancel.  I did this same thing last month\n
49JV,Budget Sensitive,We got the app to pactice math. The $30 for three months is a bit high. We thought it was one price to use the app forever.
59DJ,School Free App,Daughter thought it was too challenging (not aligned to current curriculum) and we already have school apps already provided.
73XC,Content,Child not interested in repetitive questions. Most questions are repetitive
88BF,Budget Sensitive,"App is really good, but it’s too expensive. There are other alternatives"
30KV,Content,"This is the third time I have gone through this process and field in this information. And, I imagine it it’s going to be another total fail. I want to cancel because my granddaughter hates it. She won’t use it. And I never meant to purchase it in the first place. And your instructions for canceling our wrong. I can fine “splash math“ in my subscriptions list on my iPhone, but there is absolutely No way that I can cancel by “touching the subscription I have” (meaning, the one year choice). My only choice is to buy another year."
27DJ,Budget Sensitive,"It’s too expensive for me to afford as a single parent. However, it is an excellent program."
24QZ,No Engagement,"We no longer require this software as our daughter does not use it, thank you.\n"
66QU,Budget Sensitive,Splash math is great we enjoyed it just dont want to keep oaying $10 a month rught now
63VZ,No Engagement,Didn’t keep sons interest so I have to cancel my subscription
41XM,Budget Sensitive,I can’t pay for the app right now! Thank you for the free trial!
63GW,Budget Sensitive,"No longer necessary.the price for the app is to expensive, so we've found a lot more apps that are very helpful and a lot less costly."
82GV,Budget Sensitive,I dont want to pay for this.............................................
99CK,Ignore,Aaaaaaaaaaaaaaaaaaaaaxdxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
62GT,Time,Kids have too much other school work to also spend time on the app.
59AD,No Engagement,No quiero la aplicación solo era para probar pero no le interesa a mi hija
53IN,No Need,We dont use this app anymore and the service is no longer needed
64UC,Ignore,Jshsywgsbaja ajshsywgshsjshajsk sjshsgsjsk shshshsjsj
33VH,Budget Sensitive,Expensive \n                                                                                               I don’t want to pay
88JP,No Engagement,Doesnt use enough. Bughhhjcghjjkjjhgfdddghjkkgfdddfg
66LH,Budget Sensitive,Financial difficulties due to change in work schedule.
52LS,No Engagement,Just wanted to try free trial. My son didn’t really seem interested in app so we’ve decided to cancel \n\n
78IT,Ignore,Hyggcv bgddffggbhh bhhjkkk. Hhnbjkkkk bhgffcgvgh bhhjjjjkkkk. Hhhgfrg. Yhbnjkkkiju. Hhgftvvvffff. Bhhnjkkk
91GD,Budget Sensitive,Not challenging enough for my 6 year old. Too expensive.
37QP,Short Term,Don’t need anymore. We only used for summer program. Thanks
76QL,Content,"They never use this system and the math is to easy for them! They just don,t have no interest in this system."
51UD,Budget Sensitive,Too expensive found a cheaper application. I need a cheaper application to use
89DB,Ignore,Im too disorganized. Make me more organized. Then i can use your product.
16SI,Content,He got too frustrated. Some of these questions were more advanced than his level.\n
10MC,No Need,No need for app. Xxxxxxxxxxxxxxxxx xxxxxxxxx xxxxxxx xxxxxxxxxx xxxxxx xxxxxx xxxxxx xxxxxx xxxx xxx
89SD,Ignore,"Use I readyGugvghcgh j(hitxgjrxhj&ghkxyrjxhgccfxhf$fchngfcmhgcg,jkhbjgcmgfxgf jhfcfbhgkhchchgvcghcskdjvbsdjkvnsdjkvnsdkjvnsjdkvndskjvnsdjkvnsdk)sjkrvnsrjkvnskrjnnbsm,d. Send Boise get\n"
82CO,Ignore,Sodijfvdjfv.lfflinadrfasdcadfvafdvasdcasdcasdcasdfasfaslkdbclakbsdclasdlckalksdbclakbsdclkbasdclkbaslkbdcascdadcs
56EP,Budget Sensitive,Too much money for me to pay and my daughter did not play it
72DY,Content,Daughter didn’t like it\nSaid games were boring but I think she is just a little young for them
83GP,Competitor,Please cancel my kids are not using this app  \nThey are using a different app monster math
34PO,Ignore,My son already has this program from his school online
42CZ,No Engagement,My daughter does not use enough to purchase subscription.
12SR,Content,Too easy and she didnt like the games at all thanks for the free trial
32DU,Budget Sensitive,"Muy cara la aplicacion, cuesta mucho dinero.! \nGracias"
64FO,Content,Do not want anymore. My child is bored with this and there are other free apps.
10DO,No Engagement,Please cancel my subscription. We are no longer wanting this and would like it to discontinue. Thank you.
12CL,No Engagement,"Not sure, but my kids didnt use it enough to justify the cost"
37JM,No Engagement,I cannot afford this app. It is too costly. Please unsubscribe me. My child is not playing this app.
60JI,Ignore,Because my kid downloaded this without my permission.
34TW,No Engagement,"My daughter is not using it. It seems to be a very good resource, but unfortunately I haven't been able to convince my daughter to begin using the application/program."
82UL,No Engagement,"Did not use, was not going to pay for an app i wasnt using"
24AW,Budget Sensitive,I do not think it worth the money. My did not play the game.\n
75VE,Ignore,Didnt like app xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
92AH,School Free App,Found free help through school apps.......................great app but the others are free.\n
77JC,No Engagement,Not what i was looking for in an app for our son i will keep looking
48OB,Budget Sensitive,It was too expensive for what it was offering. My child felt like it wasn’t as much of a challenge after she got the hang of it.
72HS,Ignore,Didnt like app why do i need to explain it in 50 characters?
10CI,Budget Sensitive,Can not afford payment \nSo we need to cancel at this time.
33KJ,Budget Sensitive,"This app is Too expensive, other apps offer similar for free."
68RW,School Free App,The school gave us another program to use. Will start it again in the summer.
38UQ,Ignore,Nubbfxicnsidjfjfsdofnnsodknvsldknvldknvlsdknvlkdnvlvdjvdxjvlkdnvksdnvkkdnvkdvkxkdvkdfkkdjvkkdnfsknfkisenfkzdjfkks
91VN,Budget Sensitive,Too much money cannot afford it right now at some other time
86BN,Budget Sensitive,Too much $ .........................i thought it wAs free
65RK,No Engagement,Jude is not old enough to play this. It does not keep his attention long and you guys charged me a 3 month subscription without notifying me via email. I cannot afford this type of subscription at the moment as well
61VV,Budget Sensitive,Cant afford the monthly fee!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
47GV,Ignore,"ABC \nGfssfh fbgff gfhnjhgf fighters gfddfgb hhhj\nVffhf fbffsaghiiyr fsethhytgghjhvdeet hgthjkj bfdswdgg, hgfdessefgg hgffddf gfffgh"
88SW,Ignore,I am going to buy the app next month so I am cancelling the free subscription \nWe love this app\nWould like to see a spelling version
49VY,No Engagement,No good and improve your app a.jgdastymmvczfhyuopljvfjko
60LL,No Engagement,Don’t need it anymore my children don’t like it the complain about
94CW,No Engagement,Do not want this service dont need it at this time. Please cancel my subcription thasnks
55PG,Ignore,Do not like this game!!!!!!!     !!!!!!!!!!!!!!!!!!   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Nnnnnnnnnnnnnnn!!      !!!!!!!
79HK,No Engagement,Dont use.......................................................................
29NG,Issues,"This apps. I failed my math test and didnt get to go to the fourth grade. I think i got dumber while using this app. Please delete from the app store, there is nothing you can do to improve it"
90IB,Ignore,Jdkfnbfnfidndnjfjendidndjdjdndodn dkdkdndkdndjjfndkdnd eodndidndnid rir. R
70ZH,Trial,Was trying app. It is a nice App however still finding the right one for my child.
85PR,School Free App,Use school program ahshsjsjsjsdnsjsjwowowkwjsjjsjssjjwjwjwjww
33UZ,School Free App,Would like to use the same program he uses at school.
13RK,No Engagement,Manreet didn’t like this\nShe dont way to play this game
75GF,No Engagement,She didn’t like this anymore \nAnd don’t want to play this anymore
30FS,No Engagement,Kids no li ger will use this orogram have oitgrow. It
83QS,Ignore,Hdhdjhdbjsjdbshakskd ch hakmd chsnskdnchsbxufbfhdhdbbfjek
99IH,Time,Not used during school where he is practicing math with homework.
46VP,Alternates,"Does not use often as I would like. When I purchased it I thought that it would help be a good addition to her homework, but she prefers to use paper and pencil or workbooks instead."
31MN,Budget Sensitive,Money i dont have. Hgfddgnmhfdsfhjjfdssfbnbczsdjjgdsdgnbcd
23KG,Budget Sensitive,I just dont want to pay this much for an app. Good app though
26YK,Issues,It wasnt intriguing enough to keep her wanting to play it snd not very challenging
93VE,Budget Sensitive,This app is too expensive  to continue for our son.
57HM,Budget Sensitive,We are not using it frequently enough to warrant the subscription fee per month
29TN,Budget Sensitive,Rather not pay when theres other free apps i could download
67ZE,No Engagement,My daughter is Not interested...she is not practicing enough...and i m unable to assist her at the moment...we’ll try later
13NO,Ignore,Need a break from the app. Taking fall break and then will pick it back up.thanks
92CB,Budget Sensitive,Too much money. I don't want to pay for this every month.
75DD,Budget Sensitive,It is a little too expensive for our budget . A good app though
49VQ,No Engagement,My son did nit like it. Didnt catch his attention.
23DD,Content,My child lost interest in the game shortly after playing.
24FI,Ignore,Very frustratunf not hrudidjnd jdkdkdkrk didnxkkd didndjdnfkkdmddkdndndjdjdjdjdj
53PC,School Free App,She use IXL with he school. It is free to use. Plus she is also in tutoring.
23IP,Content,Son has graduated into higher math and no longer uses this app please cancel!
39ON,No Engagement,Not using it as planned for my son’s math learning
38YF,No Engagement,No longer interested in this. We would like to cancel
54RK,Budget Sensitive,"Not using enough for the cost.  Would rather a free app or a pay one time app "".......................\n"
94VJ,Ignore,.I hate you I hate this app I hate you I hate this app a hate you I hate this app is that long enough?
53XN,School Free App,Child not interested in the games want to cancle before we get charger she is given free resources from school so dont see a point in getting charged.
29ME,Ignore,Huhshsuehsjjsjsjsjsjjsjsnsjsjsjjsjsjsjsjsjjsjdjsjjejsje
57IF,Content,Will retry at later date thx.   Child was bored. I was unable to control what program she was on.
55VF,Issues,My kid needs to be little older to play this game. We will return in about one more year
67DN,Ignore,Please cancel. My child already passed everything in kinder. Thanks. Deruihgdhudfiivufdhvfdjivjdfovfdiovjdfioviodfjviodfjjodfniovdbfoic
60IR,Budget Sensitive,Too expensive and my daughter doesn’t use it enough to make it worth it.
40PL,Budget Sensitive,Too expensive and my daughter doesn’t use it enough to make it worth it.
18OH,Alternates,Daughter not interested. She would rsther use her own flashcards.
74AQ,Time,She does not work on it especially with her other schoolwork.\n
88YC,Alternates,"Dont need anymore, my daughter will go to math class after school."
49OK,Short Term,Summer is over and we do not need the extra help- it was great over the break
49MZ,Budget Sensitive,"Not what we need to study, price was not what i spected"
53SC,Budget Sensitive,Too expensive for me to pay $60 every month otherwise it is a great app for kids
45ET,Budget Sensitive,"I do not like a subscription based software for this type of product. I’m really not sure of the value. Lastly, it is far too costly as-is.\n"
21LB,Budget Sensitive,Love this app but its a little out of our budget at the moment. Since we havent had a lot of time for him to sit and practice.
86ET,Budget Sensitive,It is too expensive and we don’t use it. 11111111111111111111
38BW,Time,My daughter does not use this app enough for us to pay the subscription
27UY,Time,Back to school. Xxxxxxxxxddxxxxxxxddxxxxddddddddddddddddddddddddddddddddddddddddddddddddddd
96HO,No Engagement,Kids arent interested in the program at the moment. Will try again later.
75SP,Issues,"No fue del agrado de mi hijo, se le hizo muy complicado. Es muy pequeño aún."
98SK,Competitor,The app was useful just found a different app to use.
56BY,Issues,Decided no to purchase this app. I feel like it could be more user friendly.
57FV,Issues,She finished the third grade section with no progress the fourth grade session doesn’t make sense and it’s not worth the money.  The fact that you have a 50 character minimum here is foolish:  just cancel the subscription.\n................................................
30TJ,No Engagement,My daughter doesnt like to use it. Also it is too expensive.
59AZ,No Engagement,My son was not as interested as I thought he will be
31MC,Ignore,Not interested  .................................................................
13ZQ,Ignore,Not interested ....................................................................
72NX,Budget Sensitive,Haven’t got the money to pay for the app as on very low income and in financial problems
63JW,Short Term,Dont need it any more\n\nThanks\n!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!@@@@@@@@@@@@@@@@@@@@@
32WW,No Engagement,Don’t use it so we won’t need it anymore.   My granddaughter is not interested in this anymore so I don’t want to pay for something that isn’t being used.
24VJ,Content,"Kids can’t understand much, make them not so instesting, so they stop doing it"
93PL,Budget Sensitive,"Too much money for what you get.  For 10 dollars a month I would expect many more options including being able to customize things.  I tried the 1 week trial membership while my daughter was home sick from school, and while she liked it, she lost interest fairly quickly."
82WE,Budget Sensitive,Its out of my budget right now! \nToo expensive! My kid is not that motivated for the app anymore!
23TU,Ignore,Kiytf\n\nNot using gggggggggggggggggggghhdufiuvouyfkugfytdjytd\n
53SG,Budget Sensitive,Too expensive for a kid app. If the price was lower we would stay
92IJ,Content,Was not challenging enough for my first grader. I also did not like that the answer was shown using icons in addition to the numerals.
84MS,Budget Sensitive,"Too expensive, too easy. Not used enough. We tried"
80NW,School Free App,Child does not use it anymore. She uses an alternate app that is followed in school
51XV,Ignore,Hghjjhgvhnkonbvgbjjhbvghjknbvvgjjjhggcbjkihfcfghjjhgfdxcvhjikjh
96XT,Ignore,I canceled this on 9/16/18 during the trial period but was still billed! Why wasn’t the cancellation managed. Please make sure my cancellation is taken care of and my money refunded. Thank you.
65OX,Ignore,We dint like tge privram and that we have to type all of this to cancel
43MQ,Ignore,This is not going to work This will not work for me this when I was let me know when hour for me that what you want me to wait for me now walking ammonia now what do you know what what are we are 50 yet OK this is not gonna work I don’t work I go to work and then go on the phone do you any more phone OK where are you Fronge OK sup sup
55ZP,Budget Sensitive,"We really like the app, its easy to use and colorful! The reason we are canceling is the high price. Just too expensive!"
25BB,Budget Sensitive,I did want to pay for this game. $60 is way too much money. Afraid i will forget to cancel before being charged.
70VV,Plan Issues,"I do not like this app, do not care for a monthly subscription cancel subscription cancel this subscription Cancel the subscription cancel subscription cancel this subscription cancel subscription cancel subscription cancel this subscription cancel subscription cancel cancel subscription cancel subscription cancel this subscription cancel subscription cancel subscription cancel this subscription cancel subscription \n\n"
13IL,Budget Sensitive,The cost of the application is higher than comparable applications that are available
